38400
D4	400
D#4	390
H	10
D#4	1200
D#4	1100
H	100
D#4	400
D4	400
A#3	400
G3	400
C4	2400
C4	2300
H	100
D4	400
D#4	390
H	10
D#4	1200
D#4	1100
H	100
D#4	400
D4	400
A#3	400
G3	400
G4	2400
G4	2300
H	100
G3	400
G#3	400
G4	1200
G4	1100
H	100
G#4	400
G4	400
F4	400
D4	350
H	50
D4	400
D#4	350
H	50
D#4	2400
D4	2300
H	100
D4	400
D#4	390
H	10
D#4	1200
D#4	1100
H	100
D#4	400
D4	400
A#3	400
G3	400
C4	2400
B3	2300
H	100
